原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 5月17日（周二），北京地铁路网客运量1156.1万，上海地铁客运量1065万，广州地铁客运量为706.3万， 深圳地铁路网客运量347万，南京地铁客运量为229.3万，武汉地铁客运量192万，成都地铁客运量139万。,2016/5/18,5,17,周二,1065,347,1156.1, ,192,706.3, , ,229.3,139, , 
#地铁客流排行榜# 5月16日（周一），北京地铁路网客运量1161万，上海地铁客运量1052.6万，广州地铁客运量为725.3万， 深圳地铁路网客运量354万，南京地铁客运量为234.7万，武汉地铁客运量198.31万，成都地铁客运量142.5万。,2016/5/17,5,16,周一,1052.6,354,1161, ,198.31,725.3, , ,234.7,142.5, , 
#地铁客流排行榜# 5月15日（周日），北京地铁路网客运量790.31万，上海地铁客运量684万，广州地铁客运量为669.9万， 深圳地铁路网客运量310.47万，武汉地铁客运量173.74万，南京地铁客运量为170.5万，成都地铁客运量117.73万。,2016/5/16,5,15,周日,684,310.47,790.31, ,173.74,669.9, , ,170.5,117.73, , 
#地铁客流排行榜# 5月14日（周六），上海地铁客运量840.5万，广州地铁客运量为724.5万，北京地铁路网客运量692万， 深圳地铁路网客运量323.86万，南京地铁客运量为239.6万，武汉地铁客运量188.45万，成都地铁客运量116.92万。,2016/5/15,5,14,周六,840.5,323.86,692, ,188.45,724.5, , ,239.6,116.92, , 
#地铁客流排行榜# 5月13日（周五），北京地铁路网客运量1216.4万，上海地铁客运量1119.8万，广州地铁客运量为769.5万， 深圳地铁路网客运量378.73万，南京地铁客运量为251.6万，武汉地铁客运量210.91万，成都地铁客运量152.72万。,2016/5/14,5,13,周五,1119.8,378.73,1216.4, ,210.91,769.5, , ,251.6,152.72, , 
#地铁客流排行榜# 5月12日（周四），北京地铁路网客运量1120.87万，上海地铁客运量1075万，广州地铁客运量为701.3万， 深圳地铁路网客运量349.64万，南京地铁客运量为226.8万，武汉地铁客运量189.77万，成都地铁客运量132.91万。,2016/5/13,5,12,周四,1075,349.64,1120.87, ,189.77,701.3, , ,226.8,132.91, , 
#地铁客流排行榜# 5月11日（周三），北京地铁路网客运量1140.34万，上海地铁客运量1084.3万，广州地铁客运量为708.7万， 深圳地铁路网客运量351.73万，南京地铁客运量为231.1万，武汉地铁客运量192.06万，成都地铁客运量136.02万。,2016/5/12,5,11,周三,1084.3,351.73,1140.34, ,192.06,708.7, , ,231.1,136.02, , 
#地铁客流排行榜# 5月10日（周二），北京地铁路网客运量1156.43万，上海地铁客运量1036.1万，广州地铁客运量为649.4万， 深圳地铁路网客运量329.28万，南京地铁客运量为230.1万，武汉地铁客运量191.39万，成都地铁客运量137.44万。,2016/5/11,5,10,周二,1036.1,329.28,1156.43, ,191.39,649.4, , ,230.1,137.44, , 
#地铁客流排行榜# 5月9日（周一），北京地铁路网客运量1129.84万，上海地铁客运量1020万，广州地铁客运量为696.8万， 深圳地铁路网客运量347.43万，南京地铁客运量为225.1万，武汉地铁客运量187.86万，成都地铁客运量139.27万。,2016/5/10,5,9,周一,1020,347.43,1129.84, ,187.86,696.8, , ,225.1,139.27, , 
#地铁客流排行榜# 5月8日（周日），北京地铁路网客运量754.62万，上海地铁客运量675.5万，广州地铁客运量为647.2万， 深圳地铁路网客运量290.14万，南京地铁客运量为187.5万，武汉地铁客运量170.48万，成都地铁客运量110.49万。,2016/5/9,5,8,周日,675.5,290.14,754.62, ,170.48,647.2, , ,187.5,110.49, , 
#地铁客流排行榜# 5月7日（周六），北京地铁路网客运量816.05万，上海地铁客运量791.2万，广州地铁客运量为697万， 深圳地铁路网客运量305万，南京地铁客运量为222.2万，武汉地铁客运量183.09万，成都地铁客运量117.61万。,2016/5/8,5,7,周六,791.2,305,816.05, ,183.09,697, , ,222.2,117.61, , 
#地铁客流排行榜# 5月6日（周五），北京地铁路网客运量1201.4万，上海地铁客运量1102万，广州地铁客运量为744.4万， 深圳地铁路网客运量364.5万，南京地铁客运量为250万，武汉地铁客运量209万，成都地铁客运量148.83万。,2016/5/7,5,6,周五,1102,364.5,1201.4, ,209,744.4, , ,250,148.83, , 
#地铁客流排行榜# 5月5日（周四），北京地铁路网客运量1140.78万，上海地铁客运量1012.9万，广州地铁客运量为702.4万， 深圳地铁路网客运量345.07万，南京地铁客运量为223万，武汉地铁客运量188.3万，成都地铁客运量136.55万。,2016/5/6,5,5,周四,1012.9,345.07,1140.78, ,188.3,702.4, , ,223,136.55, , 
#地铁客流排行榜# 5月4日（周三），北京地铁路网客运量1132.6万，上海地铁客运量1044万，广州地铁客运量为704万， 深圳地铁路网客运量342.2万，南京地铁客运量为237.8万，武汉地铁客运量195.48万，成都地铁客运量139.6万。,2016/5/5,5,4,周三,1044,342.2,1132.6, ,195.48,704, , ,237.8,139.6, , 
#地铁客流排行榜# 5月3日（周二），北京地铁路网客运量1199.1万，上海地铁客运量1020万，广州地铁客运量为700.2万， 深圳地铁路网客运量336.87万，南京地铁客运量为242.2万，武汉地铁客运量209.03万，成都地铁客运量145.6万。,2016/5/4,5,3,周二,1020,336.87,1199.1, ,209.03,700.2, , ,242.2,145.6, , 
#地铁客流排行榜# 5月2日（周二，放假），广州地铁客运量为758.1万，上海地铁客运量689万， 北京地铁路网客运量687.62万，深圳地铁路网客运量326.29万，南京地铁客运量215万，武汉地铁客运量207万，成都地铁客运量138.98万，西安地铁客运量127.45万。广州地铁客运量终于登上榜首 。,2016/5/3,5,2,周二，放假,689,326.29,687.62, ,207,758.1, , ,215,138.98,127.45, 
#地铁客流排行榜# 5月1日（周日），北京地铁路网客运量904.37万，广州地铁客运量为900万，上海地铁客运量874.8万， 深圳地铁路网客运量390.71万，南京地铁客运量为265万，武汉地铁客运量225.45万，成都地铁客运量143.33万。广州地铁客运量创新高。,2016/5/2,5,1,周日,874.8,390.71,904.37, ,225.45,900, , ,265,143.33, , 
#地铁客流排行榜# 4月30日（周六），北京地铁路网客运量945.5万，上海地铁客运量884万，广州地铁客运量为806.1万， 深圳地铁路网客运量348.39万，南京地铁客运量为273.1万，西安地铁客运量124.17.,2016/5/1,4,30,周六,884,348.39,945.5, , ,806.1, , ,273.1, , , 
#地铁客流排行榜# 4月29日（周五），北京地铁路网客运量1303.86万，上海地铁客运量1152.3万，广州地铁客运量为828.9万， 深圳地铁路网客运量389万，南京地铁客运量为297.2万，武汉地铁客运量249.85万，成都地铁客运量180.59万，西安地铁客运量140.17。北京上海成都西安等地客流创历史新高。,2016/4/30,4,29,周五,1152.3,389,1303.86, ,249.85,828.9, , ,297.2,180.59, , 
#地铁客流排行榜# 4月28日（周四），北京地铁路网客运量1215.5万，上海地铁客运量1083.1万，广州地铁客运量为727.6万， 深圳地铁路网客运量352.4万，南京地铁客运量为246.9万，武汉地铁客运量206.84万，成都地铁客运量149.49万。,2016/4/29,4,28,周四,1083.1,352.4,1215.5, ,206.84,727.6, , ,246.9,149.49, , 
#地铁客流排行榜# 4月27日（周三），北京地铁路网客运量1178.32万，上海地铁客运量1053.7万，广州地铁客运量为721.1万， 深圳地铁路网客运量348.91万，南京地铁客运量为233.2万，武汉地铁客运量197.06万，成都地铁客运量143.82万。,2016/4/28,4,27,周三,1053.7,348.91,1178.32, ,197.06,721.1, , ,233.2,143.82, , 
#地铁客流排行榜# 4月26日（周二），北京地铁路网客运量1179.39万，上海地铁客运量1021.1万，广州地铁客运量为705.5万， 深圳地铁路网客运量349.87万，南京地铁客运量为222.2万，武汉地铁客运量187.34万，成都地铁客运量143.78万。,2016/4/27,4,26,周二,1021.1,349.87,1179.39, ,187.34,705.5, , ,222.2,143.78, , 
#地铁客流排行榜# 4月25日（周一），北京地铁路网客运量1183.69万，上海地铁客运量1031.5万，广州地铁客运量为725.3万， 深圳地铁路网客运量347.38万，南京地铁客运量为235.2万，武汉地铁客运量194.91万，成都地铁客运量142.57万。,2016/4/26,4,25,周一,1031.5,347.38,1183.69, ,194.91,725.3, , ,235.2,142.57, , 
#地铁客流排行榜# 4月24日（周日），北京地铁路网客运量806.51万，上海地铁客运量741.6万，广州地铁客运量为682.8万， 深圳地铁路网客运量285.42万，南京地铁客运量为213.8万，武汉地铁客运量197.64万，成都地铁客运量114.63万。,2016/4/26,4,24,周日,741.6,285.42,806.51, ,197.64,682.8, , ,213.8,114.63, , 
#地铁客流排行榜# 4月23日（周六），北京地铁路网客运量883.34万，广州地铁客运量728.1万，上海地铁客运量697.9万， 深圳地铁路网客运量302.87万，南京地铁客运量为212.5万，武汉地铁客运量202.42万，成都地铁客运量124.33万。,2016/4/24,4,23,周六,697.9,302.87,883.34, ,202.42,728.1, , ,212.5,124.33, , 
#地铁客流排行榜# 4月22日（周五），北京地铁路网客运量1239.13万，上海地铁客运量1111.2万，广州地铁客运量为760.3万， 深圳地铁路网客运量353.12万，南京地铁客运量为260.3万，武汉地铁客运量221.18万，成都地铁客运量156.24万。,2016/4/23,4,22,周五,1111.2,353.12,1239.13, ,221.18,760.3, , ,260.3,156.24, , 
#地铁客流排行榜# 4月21日（周四），北京地铁路网客运量1182.95万，上海地铁客运量1035.8万，广州地铁客运量为689万， 深圳地铁路网客运量345万，南京地铁客运量为235.1万，武汉地铁客运量199.91万，成都地铁客运量139.08万。,2016/4/22,4,21,周四,1035.8,345,1182.95, ,199.91,689, , ,235.1,139.08, , 
#地铁客流排行榜# 4月20日（周三），北京地铁路网客运量1175.09万，上海地铁客运量998.4万，广州地铁客运量为697.2万， 深圳地铁路网客运量339.42万，南京地铁客运量为209万，武汉地铁客运量170.6万，成都地铁客运量141.79万。,2016/4/21,4,20,周三,998.4,339.42,1175.09, ,170.6,697.2, , ,209,141.79, , 
#地铁客流排行榜# 4月19日（周二），北京地铁路网客运量1150.88万，上海地铁客运量1089.3万，广州地铁客运量为715.5万， 深圳地铁路网客运量342.89万，南京地铁客运量为234.7万，武汉地铁客运量194.1万，成都地铁客运量140.67万。,2016/4/20,4,19,周二,1089.3,342.89,1150.88, ,194.1,715.5, , ,234.7,140.67, , 
#地铁客流排行榜# 4月18日（周一），北京地铁路网客运量1178.77万，上海地铁客运量1076.3万，广州地铁客运量为723万， 深圳地铁路网客运量339.8万，南京地铁客运量为239.5万，武汉地铁客运量201.96万，成都地铁客运量144.87万。,2016/4/20,4,18,周一,1076.3,339.8,1178.77, ,201.96,723, , ,239.5,144.87, , 
#地铁客流排行榜# 4月17日（周日），北京地铁路网客运量809.39万，广州地铁客运量702.5万，上海地铁客运量812.2万， 深圳地铁路网客运量307.81万，南京地铁客运量为227.1万，武汉地铁客运量187.89万，成都地铁客运量119.7万。,2016/4/18,4,17,周日,812.2,307.81,809.39, ,187.89,702.5, , ,227.1,119.7, , 
#地铁客流排行榜# 4月16日（周六），北京地铁路网客运量855.12万，广州地铁客运量750.5万，上海地铁客运量703.5万， 深圳地铁路网客运量326.21万，南京地铁客运量为216.8万，武汉地铁客运量188.6万，成都地铁客运量129.34万。,2016/4/17,4,16,周六,703.5,326.21,855.12, ,188.6,750.5, , ,216.8,129.34, , 
#地铁客流排行榜# 4月15日（周五），北京地铁路网客运量1243.62万，上海地铁客运量1117.9万，广州地铁客运量为771.5万， 深圳地铁路网客运量355.28万，南京地铁客运量为262.4万，武汉地铁客运量219.7万，成都地铁客运量158.76万。,2016/4/16,4,15,周五,1117.9,355.28,1243.62, ,219.7,771.5, , ,262.4,158.76, , 
#地铁客流排行榜# 4月14日（周四），北京地铁路网客运量1173.32万，上海地铁客运量1045.8万，广州地铁客运量为678.6万， 深圳地铁路网客运量326.64万，南京地铁客运量为229万，武汉地铁客运量193.46万，成都地铁客运量137.6万。,2016/4/15,4,14,周四,1045.8,326.64,1173.32, ,193.46,678.6, , ,229,137.6, , 
#地铁客流排行榜# 4月13日（周三），北京地铁路网客运量1168.52万，上海地铁客运量1050.3万，广州地铁客运量为688.4万， 深圳地铁路网客运量318.61万，南京地铁客运量为233.9万，武汉地铁客运量194.1万，成都地铁客运量136.64万。,2016/4/14,4,13,周三,1050.3,318.61,1168.52, ,194.1,688.4, , ,233.9,136.64, , 
#地铁客流排行榜# 4月12日（周二），北京地铁路网客运量1155.86万，上海地铁客运量1015.3万，广州地铁客运量为670.5万， 深圳地铁路网客运量327.92万，南京地铁客运量为233.7万，武汉地铁客运量193.54万，成都地铁客运量138.6万。,2016/4/13,4,12,周二,1015.3,327.92,1155.86, ,193.54,670.5, , ,233.7,138.6, , 
#地铁客流排行榜# 4月11日（周一），北京地铁路网客运量1166.76万，上海地铁客运量1047.5万，广州地铁客运量为709.5万， 深圳地铁路网客运量333.5万，南京地铁客运量为237.4万，武汉地铁客运量200.8万，成都地铁客运量139.66万。,2016/4/12,4,11,周一,1047.5,333.5,1166.76, ,200.8,709.5, , ,237.4,139.66, , 
#地铁客流排行榜# 4月10日（周日），北京地铁路网客运量788.03万，上海地铁客运量735.1万，广州地铁客运量为605万， 深圳地铁路网客运量237.83万，南京地铁客运量为219.9万，武汉地铁客运量212.65万，成都地铁客运量113.15万。,2016/4/11,4,10,周日,735.1,237.83,788.03, ,212.65,605, , ,219.9,113.15, , 
#地铁客流排行榜# 4月9日（周六），北京地铁路网客运量867.6万，上海地铁客运量819.4万，广州地铁客运量为701万， 深圳地铁路网客运量313.95万，南京地铁客运量为247.9万，武汉地铁客运量203.56万，成都地铁客运量120.51万。,2016/4/10,4,9,周六,819.4,313.95,867.6, ,203.56,701, , ,247.9,120.51, , 
#地铁客流排行榜# 4月8日（周五），北京地铁路网客运量1218.8万，上海地铁客运量1109.4万，广州地铁客运量为769.4万， 深圳地铁路网客运量361.08万，南京地铁客运量为259.8万，武汉地铁客运量218.55万，成都地铁客运量152.07万。,2016/4/9,4,8,周五,1109.4,361.08,1218.8, ,218.55,769.4, , ,259.8,152.07, , 
#地铁客流排行榜# 4月8日（周五），北京地铁路网客运量1218.8万，上海地铁客运量1109.4万，广州地铁客运量为769.4万， 深圳地铁路网客运量361.08万，南京地铁客运量为259.8万，武汉地铁客运量218.55万，成都地铁客运量152.07万。,2016/4/9,4,8,周五,1109.4,361.08,1218.8, ,218.55,769.4, , ,259.8,152.07, , 
#地铁客流排行榜# 4月7日（周四），北京地铁路网客运量1152.02万，上海地铁客运量996.7万，广州地铁客运量为695.7万， 深圳地铁路网客运量331.37万，南京地铁客运量为233.2万，武汉地铁客运量203.65万，成都地铁客运量132.27万。,2016/4/8,4,7,周四,996.7,331.37,1152.02, ,203.65,695.7, , ,233.2,132.27, , 
#地铁客流排行榜# 4月7日（周四），北京地铁路网客运量1152.02万，上海地铁客运量996.7万，广州地铁客运量为695.7万， 深圳地铁路网客运量331.37万，南京地铁客运量为233.2万，武汉地铁客运量203.65万，成都地铁客运量1322.27万。,2016/4/8,4,7,周四,996.7,331.37,1152.02, ,203.65,695.7, , ,233.2,1322.27, , 
#地铁客流排行榜# 4月6日（周三），北京地铁路网客运量1139.48万，上海地铁客运量945.3万，广州地铁客运量为692.8万， 深圳地铁路网客运量328.96万，南京地铁客运量为213.4万，武汉地铁客运量166.92万，成都地铁客运量132.39万。,2016/4/7,4,6,周三,945.3,328.96,1139.48, ,166.92,692.8, , ,213.4,132.39, , 
#地铁客流排行榜# 4月5日（周二），北京地铁路网客运量1135.04万，上海地铁客运量1009.8万，广州地铁客运量为688.7万， 深圳地铁路网客运量331.53万，南京地铁客运量为239.5万，武汉地铁客运量203.91万，成都地铁客运量138.48万。,2016/4/6,4,5,周二,1009.8,331.53,1135.04, ,203.91,688.7, , ,239.5,138.48, , 
#地铁客流排行榜# 4月4日（周一，放假），北京地铁路网客运量800.13万，上海地铁客运量754.8万，广州地铁客运量为555.5万， 深圳地铁路网客运量294.42万，南京地铁客运量为237.4万，武汉地铁客运量229.84万，成都地铁客运量178.71万。,2016/4/5,4,4,周一，放假,754.8,294.42,800.13, ,229.84,555.5, , ,237.4,178.71, , 
#地铁客流排行榜# 4月3日（周日），北京地铁路网客运量879.9万，广州地铁客运量为645.4万，上海地铁客运量612.6万，深圳地铁路网客运量333.12万，南京地铁客运量为207.6万，武汉地铁客运量163.7万，成都地铁客运量119.17万。,2016/4/4,4,3,周日,612.6,333.12,879.9, ,163.7,645.4, , ,207.6,119.17, , 
#地铁客流排行榜# 4月2日（周六），北京地铁路网客运量913.94万，上海地铁客运量717.5万，广州地铁客运量为706.4万， 深圳地铁路网客运量315.05万，南京地铁客运量为211.7万，武汉地铁客运量206.44万，成都地铁客运量130.84万，西安地铁客运量124.17万。,2016/4/3,4,2,周六,717.5,315.05,913.94, ,206.44,706.4, , ,211.7,130.84,124.17, 
#地铁客流排行榜# 4月1日（周五），北京地铁路网客运量1253.84万，上海地铁客运量1129.9万，广州地铁客运量为815.2万， 深圳地铁路网客运量375.61万，南京地铁客运量为287.2万，武汉地铁客运量254.19万，成都地铁客运量169.32万，西安地铁客运量130.97万。北京上海西安等地客流纷纷再创历史新高。,2016/4/2,4,1,周五,1129.9,375.61,1253.84, ,254.19,815.2, , ,287.2,169.32,130.97, 
#地铁客流排行榜# 4月1日（周五），北京地铁路网客运量1253.84万，上海地铁客运量1129.9万，广州地铁客运量为815.2万， 深圳地铁路网客运量375.61万，南京地铁客运量为287.2万，武汉地铁客运量254.19万，西安地铁客运量130.97万。北京上海西安等地客流纷纷再创历史新高。,2016/4/2,4,1,周五,1129.9,375.61,1253.84, ,254.19,815.2, , ,287.2, ,130.97, 
#地铁客流排行榜# 3月31日（周四），北京地铁路网客运量1168.62万，上海地铁客运量1019.8万，广州地铁客运量为720.8万， 深圳地铁路网客运量346.68万，南京地铁客运量为231.6万，武汉地铁客运量206.36万，成都地铁客运量139.33万。,2016/4/1,3,31,周四,1019.8,346.68,1168.62, ,206.36,720.8, , ,231.6,139.33, , 
#地铁客流排行榜# 3月30日（周三），北京地铁路网客运量1178.44万，上海地铁客运量1035.5万，广州地铁客运量为710.7万， 深圳地铁路网客运量346.12万，南京地铁客运量为229.2万，武汉地铁客运量178.82万，成都地铁客运量139.43万。,2016/3/31,3,30,周三,1035.5,346.12,1178.44, ,178.82,710.7, , ,229.2,139.43, , 
#地铁客流排行榜# 3月29日（周二），北京地铁路网客运量1168.1万，上海地铁客运量1060万，广州地铁客运量为712.8万， 深圳地铁路网客运量346.1万，南京地铁客运量为229.9万，武汉地铁客运量188.77万，成都地铁客运量136.58万，西安地铁客运量100.98万。,2016/3/30,3,29,周二,1060,346.1,1168.1, ,188.77,712.8, , ,229.9,136.58,100.98, 
#地铁客流排行榜# 3月28日（周一），北京地铁路网客运量1167.11万，上海地铁客运量10492万，广州地铁客运量为729万， 深圳地铁路网客运量341.95万，南京地铁客运量为237.2万，武汉地铁客运量205.65万，成都地铁客运量141.12万。,2016/3/29,3,28,周一,10492,341.95,1167.11, ,205.65,729, , ,237.2,141.12, , 
#地铁客流排行榜# 3月27日（周日），北京地铁路网客运量849.37万，上海地铁客运量777万，广州地铁客运量为730.8万， 深圳地铁路网客运量334.04万，南京地铁客运量为234.6万，武汉地铁客运量209.37万，成都地铁客运量122万。,2016/3/28,3,27,周日,777,334.04,849.37, ,209.37,730.8, , ,234.6,122, , 
#地铁客流排行榜# 3月26日（周六），北京地铁路网客运量923.53万，上海地铁客运量856.4万，广州地铁客运量为770.3万， 深圳地铁路网客运量340.24万，南京地铁客运量为250.9万，武汉地铁客运量211.99万.,2016/3/27,3,26,周六,856.4,340.24,923.53, ,211.99,770.3, , ,250.9, , , 
#地铁客流排行榜# 3月25日（周五），北京地铁路网客运量1242.61万，上海地铁客运量1107.2万，广州地铁客运量为782.5万， 深圳地铁路网客运量373.27万，南京地铁客运量为264.6万，武汉地铁客运量223.75万，成都地铁客运量为173.82万。北京成都客流创新高。,2016/3/26,3,25,周五,1107.2,373.27,1242.61, ,223.75,782.5, , ,264.6,173.82, , 
#地铁客流排行榜# 3月24日（周四），北京地铁路网客运量1170.21万，上海地铁客运量1043.2万，广州地铁客运量为666万， 深圳地铁路网客运量327.02万，南京地铁客运量为233.7万，武汉地铁客运量为201.66万，成都地铁客运量162.69万。,2016/3/25,3,24,周四,1043.2,327.02,1170.21, ,201.66,666, , ,233.7,162.69, , 
#地铁客流排行榜# 3月23日（周三），北京地铁路网客运量1163.04万，上海地铁客运量1037.6万，广州地铁客运量为653.2万， 深圳地铁路网客运量320.3万，南京地铁客运量为236.2万，武汉地铁客运量为193.99万，成都地铁客运量155.59万。,2016/3/24,3,23,周三,1037.6,320.3,1163.04, ,193.99,653.2, , ,236.2,155.59, , 
#地铁客流排行榜# 3月22日（周二），北京地铁路网客运量1147.55万，上海地铁客运量1026.4万，广州地铁客运量为664.7万， 深圳地铁路网客运量336.08万，南京地铁客运量为236.2万，武汉地铁客运量为197.07万，成都地铁客运量151.13万。,2016/3/23,3,22,周二,1026.4,336.08,1147.55, ,197.07,664.7, , ,236.2,151.13, , 
#地铁客流排行榜# 3月21日（周一），北京地铁路网客运量1153.79万，上海地铁客运量1041.3万，广州地铁客运量为661.5万， 深圳地铁路网客运量333.7万，南京地铁客运量为244.2万，武汉地铁客运量为200.07万，成都地铁客运量156.3万。,2016/3/23,3,21,周一,1041.3,333.7,1153.79, ,200.07,661.5, , ,244.2,156.3, , 
#地铁客流排行榜# 3月20日（周日），北京地铁路网客运量814.19万，上海地铁客运量771.5万，广州地铁客运量为673万， 深圳地铁路网客运量309.64万，南京地铁客运量为253.6万，武汉地铁客运量为206.99万，成都地铁客运量138.73万。,2016/3/21,3,20,周日,771.5,309.64,814.19, ,206.99,673, , ,253.6,138.73, , 
#地铁客流排行榜# 3月19日（周六），北京地铁路网客运量890.93万，上海地铁客运量805.5万，广州地铁客运量为708.9万， 深圳地铁路网客运量328.74万，南京地铁客运量为279.6万，成都地铁客运量为143.48万，西安地铁客运量121.53万。,2016/3/20,3,19,周六,805.5,328.74,890.93, , ,708.9, , ,279.6,143.48,121.53, 
#地铁客流排行榜# 3月17日（周四），北京地铁路网客运量1154.57万，上海地铁客运量为1040.5万，广州地铁客运量为681.9万， 深圳地铁路网客运量348.8万，南京地铁客运量为230.2万，武汉地铁客运量为190.87万，成都地铁客运量为137.62万。,2016/3/18,3,17,周四,1040.5,348.8,1154.57, ,190.87,681.9, , ,230.2,137.62, , 
#地铁客流排行榜# 3月16日（周三），北京地铁路网客运量1159.05万，上海地铁客运量为1067.8万，广州地铁客运量为702.8万， 深圳地铁路网客运量346.64万，南京地铁客运量为240.3万，武汉地铁客运量为196.44万，成都地铁客运量为139.91万。,2016/3/17,3,16,周三,1067.8,346.64,1159.05, ,196.44,702.8, , ,240.3,139.91, , 
#地铁客流排行榜# 3月15日（周二），北京地铁路网客运量1141.24万，上海地铁客运量为1057.5万，广州地铁客运量为704.6万， 深圳地铁路网客运量343.93万，南京地铁客运量为234.2万，武汉地铁客运量为196.78万，成都地铁客运量为139.21万。,2016/3/16,3,15,周二,1057.5,343.93,1141.24, ,196.78,704.6, , ,234.2,139.21, , 
#地铁客流排行榜# 3月14日（周一），北京地铁路网客运量1145.32万，上海地铁客运量为1031.8万，广州地铁客运量为713.7万， 深圳地铁路网客运量349.64万，南京地铁客运量为235.7万，武汉地铁客运量为201.47万，成都地铁客运量为138.76万。,2016/3/15,3,14,周一,1031.8,349.64,1145.32, ,201.47,713.7, , ,235.7,138.76, , 
#地铁客流排行榜# 3月12日（周日），北京地铁路网客运量768.35万，上海地铁客运量为680.9万，广州地铁客运量为604.6万， 深圳地铁路网客运量294.71万，武汉地铁客运量为214.1万，南京地铁客运量为212.5万，成都地铁客运量为118.79万，西安地铁客运量114.8万。,2016/3/14,3,12,周日,680.9,294.71,768.35, ,214.1,604.6, , ,212.5,118.79,114.8, 
#地铁客流排行榜# 3月11日（周六），上海地铁客运量为832.8万，北京地铁路网客运量821.94万，广州地铁客运量为710.1万， 深圳地铁路网客运量314.41万，南京地铁客运量为265.1万，武汉地铁客运量为214.1万，成都地铁客运量为116.52万，西安地铁客运量114.8万。,2016/3/13,3,11,周六,832.8,314.41,821.94, ,214.1,710.1, , ,265.1,116.52,114.8, 
#地铁客流排行榜# 3月9日（周三），北京地铁路网客运量为1139.37万，上海地铁客运量为1002.3万，广州地铁客运量为752.7万， 深圳地铁路网客运量331.62万，南京地铁客运量为224.9万，武汉地铁客运量为181.62万，成都地铁客运量为128.63万。,2016/3/10,3,9,周三,1002.3,331.62,1139.37, ,181.62,752.7, , ,224.9,128.63, , 
#地铁客流排行榜# 3月8日（周二），北京地铁路网客运量为1161.48万，上海地铁客运量为1001万，广州地铁客运量为752.7万， 深圳地铁路网客运量372.7万，南京地铁客运量为212.7万，武汉地铁客运量为181.88万，成都地铁客运量为142.25万。昨日是三八节，广深客流上升较大，能说明什么？,2016/3/9,3,8,周二,1001,372.7,1161.48, ,181.88,752.7, , ,212.7,142.25, , 
#地铁客流排行榜# 3月7日（周一），北京地铁路网客运量为1140.03万，上海地铁客运量为1030.9万，广州地铁客运量为724.6万， 深圳地铁路网客运量355.6万，南京地铁客运量为234.5万，武汉地铁客运量为198.6万，成都地铁客运量为137.97万。,2016/3/8,3,7,周一,1030.9,355.6,1140.03, ,198.6,724.6, , ,234.5,137.97, , 
#地铁客流排行榜# 3月6日（周日），北京地铁路网客运量为752.74万，广州地铁客运量为728.9万，上海地铁客运量为718.9万， 深圳地铁路网客运量317.64万，南京地铁客运量为227.9万，武汉地铁客运量为203.7万，成都地铁客运量为119.61万。,2016/3/7,3,6,周日,718.9,317.64,752.74, ,203.7,728.9, , ,227.9,119.61, , 
#地铁客流排行榜# 3月5日（正月廿七，周六），北京地铁路网客运量为814.11万，上海地铁客运量为811.7万，广州地铁客运量为771.8万， 深圳地铁路网客运量305.87万，南京地铁客运量为261.9万，武汉地铁客运量为211.76万，成都地铁客运量为130.41万。,2016/3/6,3,5,正月廿七，周六,811.7,305.87,814.11, ,211.76,771.8, , ,261.9,130.41, , 
#地铁客流排行榜# 3月4日（正月廿六，周五），北京地铁路网客运量为1200.11万，上海地铁客运量为1082.6万，广州地铁客运量为800.7万， 深圳地铁路网客运量370.47万，南京地铁客运量为254.5万，武汉地铁客运量为219.15万，成都地铁客运量为156.29万。北上等城客流超或逼近历史新高。,2016/3/5,3,4,正月廿六，周五,1082.6,370.47,1200.11, ,219.15,800.7, , ,254.5,156.29, , 
#地铁客流排行榜# 3月3日（正月廿五，周四），北京地铁路网客运量为1130万，上海地铁客运量为1025.3万，广州地铁客运量为734.2万， 深圳地铁路网客运量323.98万，南京地铁客运量为226.3万，武汉地铁客运量为194.17万，成都地铁客运量为139.57万。,2016/3/4,3,3,正月廿五，周四,1025.3,323.98,1130, ,194.17,734.2, , ,226.3,139.57, , 
#地铁客流排行榜# 3月2日（正月廿四，周三），北京地铁路网客运量为1132.08万，上海地铁客运量为1033.1万，广州地铁客运量为733.4万， 深圳地铁路网客运量350.71万，南京地铁客运量为234.8万，武汉地铁客运量为196.67万，成都地铁客运量为140.44万。,2016/3/3,3,2,正月廿四，周三,1033.1,350.71,1132.08, ,196.67,733.4, , ,234.8,140.44, , 
#地铁客流排行榜# 3月1日（正月廿三，周二），北京地铁路网客运量为1128.4万，上海地铁客运量为1023.9万，广州地铁客运量为726.7万， 深圳地铁路网客运量345.97万，南京地铁客运量为236.6万，武汉地铁客运量为201.59万，成都地铁客运量为142.97万。,2016/3/2,3,1,正月廿三，周二,1023.9,345.97,1128.4, ,201.59,726.7, , ,236.6,142.97, , 
#地铁客流排行榜# 2月29日（正月廿二，周一），北京地铁路网客运量为1127.31万，上海地铁客运量为1016.5万，广州地铁客运量为732.4万， 深圳地铁路网客运量352.9万，南京地铁客运量为238万，武汉地铁客运量为207.2万，成都地铁客运量为144.46万。,2016/3/1,2,29,正月廿二，周一,1016.5,352.9,1127.31, ,207.2,732.4, , ,238,144.46, , 
