原始微博内容,发布日期,博主输入月份,博主输入日,博主输入星期,上海,深圳,北京,长沙,武汉,广州,苏州,郑州,南京,成都,西安,重庆
#地铁客流排行榜# 8月26日（周五），北京地铁路网客运量1262.19万，上海地铁客运量1063.1万，广州地铁客运量777.3万，深圳地铁路网客运量409.04万，南京地铁客运量252.9万，武汉地铁客运量209.4万，成都地铁客运量188.78万，西安地铁客运量117.89万。,2016/8/27,8,26,周五,1063.1,409.04,1262.19, ,209.4,777.3, , ,252.9,188.78,117.89, 
#地铁客流排行榜# 8月25日（周四），北京地铁路网客运量1213.36万，上海地铁客运量1038万，广州地铁客运量756.2万，深圳地铁路网客运量391.88万，南京地铁客运量233.2万，武汉地铁客运量188.88万，成都地铁客运量171.66万，西安地铁客运量99.44万。,2016/8/26,8,25,周四,1038,391.88,1213.36, ,188.88,756.2, , ,233.2,171.66,99.44, 
#地铁客流排行榜# 8月24日（周三），北京地铁路网客运量1211.28万，上海地铁客运量1043.8万，广州地铁客运量743.9万，深圳地铁路网客运量392.74万，南京地铁客运量230.8万，武汉地铁客运量190.6万，成都地铁客运量174.48万，西安地铁客运量103.36万。,2016/8/25,8,24,周三,1043.8,392.74,1211.28, ,190.6,743.9, , ,230.8,174.48,103.36, 
#地铁客流排行榜# 8月23日（周二），北京地铁路网客运量1203.16万，上海地铁客运量1053.4万，广州地铁客运量753.3万，深圳地铁路网客运量391万，南京地铁客运量231万，武汉地铁客运量191.3万，成都地铁客运量175.67万，西安地铁客运量103万。,2016/8/24,8,23,周二,1053.4,391,1203.16, ,191.3,753.3, , ,231,175.67,103, 
#地铁客流排行榜# 8月22日（周一），北京地铁路网客运量1183.3万，上海地铁客运量1041万，广州地铁客运量760.4万，深圳地铁路网客运量393.74万，南京地铁客运量234万，武汉地铁客运量195.52万，成都地铁客运量178.71万，西安地铁客运量104.36万。,2016/8/23,8,22,周一,1041,393.74,1183.3, ,195.52,760.4, , ,234,178.71,104.36, 
#地铁客流排行榜# 8月21日（周日），北京地铁路网客运量782.95万，上海地铁客运量684.9万，广州地铁客运量676.6万，深圳地铁路网客运量334.5万，南京地铁客运量182万，武汉地铁客运量161.24万，成都地铁客运量121.46万，西安地铁客运量93.17万。,2016/8/23,8,21,周日,684.9,334.5,782.95, ,161.24,676.6, , ,182,121.46,93.17, 
#地铁客流排行榜# 8月21日（周日），北京地铁路网客运量782.95万，上海地铁客运量XXX万，广州地铁客运量676.6万，深圳地铁路网客运量334.5万，南京地铁客运量182万，武汉地铁客运量161.24万，成都地铁客运量121.46万，西安地铁客运量93.17万。,2016/8/22,8,21,周日,676.6,334.5,782.95, ,161.24,676.6, , ,182,121.46,93.17, 
#地铁客流排行榜# 8月20日（周六），北京地铁路网客运量867.95万，上海地铁客运量742.5万，广州地铁客运量713.1万，深圳地铁路网客运量337.94万，南京地铁客运量190万，武汉地铁客运量165.7万，成都地铁客运量134.45万，西安地铁客运量95.34万。,2016/8/22,8,20,周六,742.5,337.94,867.95, ,165.7,713.1, , ,190,134.45,95.34, 
#地铁客流排行榜# 8月19日（周五），北京地铁路网客运量1263.35万，上海地铁客运量1062万，广州地铁客运量772.2万，深圳地铁路网客运量XXX万，南京地铁客运量231.9万，武汉地铁客运量192.18万，成都地铁客运量181.86万，西安地铁客运量105.3万。,2016/8/22,8,19,周五,1062,231.9,1263.35, ,192.18,772.2, , ,231.9,181.86,105.3, 
#地铁客流排行榜# 8月18日（周四），北京地铁路网客运量1054.31万，上海地铁客运量1051.3万，广州地铁客运量685万，深圳地铁路网客运量372.46万，南京地铁客运量224万，武汉地铁客运量183.6万，成都地铁客运量178万，西安地铁客运量100.3万。昨日北京地铁因1号线早高峰故障短时停运造成客流降幅较大。,2016/8/19,8,18,周四,1051.3,372.46,1054.31, ,183.6,685, , ,224,178,100.3, 
