 #地铁客流排行榜# 1月14日(周三)，北京地铁线网客运量为914万人次，上海地铁客运量为803万人次，广州地铁客运量为622.6万人次，深圳地铁线网客运量为290万人次，南京地铁客运量为141万人次。武汉地铁113万人次，成都地铁87万人次。,2015-01-15 10:14:00 来自 荣耀3X
转发微博,2015-01-15 10:01:00 来自 荣耀3X
西方媒体的可怕之处，很有欺骗性,2015-01-14 20:33:00 来自 荣耀3X
// @央视新闻 :【细说 #养老金余额可继承# 】我国养老保险个人账户的计发月数是139个月，也就是个人账户中的钱分139个月发完，按照60岁退休计算，职工领自己的钱要到71.5岁才能领完，在此之前死亡的，个人账户里的余额都可继承。（央视记者李天雷 郭茜）,2015-01-14 16:08:00 来自 荣耀3X
转发微博,2015-01-14 16:05:00 来自 荣耀3X
转发微博,2015-01-14 15:59:00 来自 荣耀3X
 #地铁客流排行榜# 1月13日(周二)，北京地铁线网客运量为932.04万人次，上海地铁客运量为846.6万人次，广州地铁客运量为593.4万人次，深圳地铁线网客运量为268.75万人次，南京地铁客运量为137.7万人次。武汉地铁112.91万人次，成都地铁86.31万人次。,2015-01-14 14:52:00 来自 荣耀3X
转发微博,2015-01-14 14:43:00 来自 荣耀3X
 #地铁客流排行榜# 1月12日(周一)，北京地铁线网客运量为943.27万人次，上海地铁客运量为856.4万人次，广州地铁客运量为562.3万人次，深圳地铁线网客运量为271.88万人次，南京地铁客运量为145.7万人次。武汉地铁114.09万人次，成都地铁87.05万人次。,2015-01-13 12:37:00 来自 微博 weibo.com
手拿报纸占了胸前半个人的位置，后面有空间不进站在门口赌住门外人上车，电扶梯并排站着,2015-01-12 21:45:00 来自 荣耀3X
“老人老办法，新人新制度，中人逐步过渡”现在成了许多深水区改革的一项基本定律，意味着要拉平得付出三代人的代价。,2015-01-12 16:21:00 来自 微博 weibo.com
 #地铁客流排行榜# 1月11日(周日)，北京地铁线网客运量为605.24万人次，上海地铁客运量为587万人次，广州地铁客运量为585.7万人次，深圳地铁线网客运量为272万人次，南京地铁客运量为126.2万人次。武汉地铁109.67万人次，成都地铁74.49万人次。,2015-01-12 16:17:00 来自 微博 weibo.com
对 @重庆轨道交通  说：重庆地铁运营里程已居内地城市第四，欢迎公布每日客流情况,2015-01-12 09:55:00 来自 微博 weibo.com
回复 @zhengruiw02 :说明客流结构是以通勤通学为主，忠实度很高，是稳定的基石，上了一定规模线网的城市才有这个特点！// @zhengruiw02 :周末出行的人比较少,2015-01-12 09:31:00 来自 荣耀3X
 #地铁客流排行榜# 1月10日(周六)，北京地铁线网客运量为646.44万人次，上海地铁客运量为643.8万人次，广州地铁客运量为628.9万人次，深圳地铁线网客运量为281万人次，南京地铁客运量为142.1万人次。武汉地铁119.31万人次，成都地铁77.26万人次。,2015-01-11 11:52:00 来自 荣耀3X
【地铁客流】1月9日，深圳地铁全线网总客流量307.28万人次。,2015-01-10 18:11:00 来自 荣耀3X
转发微博,2015-01-10 10:05:00 来自 荣耀3X
转发微博,2015-01-10 10:04:00 来自 荣耀3X
转发微博,2015-01-10 10:03:00 来自 荣耀3X
转发微博,2015-01-10 10:03:00 来自 荣耀3X
转发微博,2015-01-10 10:03:00 来自 荣耀3X
转发微博,2015-01-10 10:03:00 来自 荣耀3X
【地铁客流】1月8日，深圳地铁全线网总客流量286万人次。,2015-01-09 10:00:00 来自 荣耀3X
转发微博,2015-01-09 09:55:00 来自 荣耀3X
转发微博,2015-01-09 09:54:00 来自 荣耀3X
转发微博,2015-01-09 09:54:00 来自 荣耀3X
转发微博,2015-01-09 08:39:00 来自 荣耀3X
转发微博,2015-01-09 08:36:00 来自 荣耀3X
转发微博,2015-01-09 08:36:00 来自 荣耀3X
转发微博,2015-01-09 08:36:00 来自 荣耀3X
转发微博,2015-01-09 08:08:00 来自 荣耀3X
转发微博,2015-01-09 07:59:00 来自 荣耀3X
中国内地城市2014年末轨道交通运营里程排名  O 中国内地2014年末城市轨道交通运营线路里程统... ,2015-01-07 12:18:00 来自 荣耀3X
要严谨，无歧义！,2015-01-04 19:46:00 来自 微博 weibo.com
转发微博,2015-01-04 16:52:00 来自 微博 weibo.com
回复 @睿琪小智 :你说的那是1曰的// @睿琪小智 :武汉149万 数据来源武汉地铁运营官方微博,2015-01-03 13:44:00 来自 荣耀3X
 #地铁客流排行榜# 1月2日，广州地铁客运量为679.5万人次，上海地铁客运量644.1万人次，北京地铁线网客运量629.19万人次，深圳地铁线网客运量为304.5万人次。第2梯队有南京地铁147.1万人次，武汉地铁126.1万人次，成都地铁85.24万人次。,2015-01-03 10:35:00 来自 荣耀3X
更正 #地铁客流排行榜# 1月1日，广州地铁客运量为826.5万人次，上海地铁客运量685.5万人次，北京地铁线网客运量678.49万人次，深圳地铁线网客运量为366.5万人次。第2梯队有南京地铁169.6万人次，武汉地铁149.53万人次，成都地铁101.96万人次。,2015-01-03 10:32:00 来自 荣耀3X
转发微博,2015-01-02 19:00:00 来自 荣耀3X
转发微博,2015-01-02 19:00:00 来自 荣耀3X
地铁运营里程排名,2015-01-02 12:31:00 来自 荣耀3X
回复 @lucky--fool :节假日北京上海地铁客运量通常都掉得厉害，昨天元旦上海人出行的热情也不排除受到了踩踏事情的影响。广州地铁工作曰节假日客流量都很大。// @lucky--fool :广州登顶了？,2015-01-02 11:59:00 来自 荣耀3X
 #地铁客流排行榜# 1月1日，广州地铁客运量为826.5万人次，上海地铁客运量685.5万人次，北京地铁线网客运量547.29万人次，深圳地铁线网客运量为366.5万人次。第2梯队有南京地铁169.6万人次，武汉地铁149.53万人次，成都地铁101.96万人次。,2015-01-02 11:51:00 来自 荣耀3X
 #地铁客流排行榜# 1月1日，广州地铁客运量为826.5万人次，上海地铁客运量685.5万人次，北京地铁线网客运量547.29万人次，深圳地铁线网客运量为366.5万人次。,2015-01-02 11:47:00 来自 荣耀3X
重庆前几天新开了线路，现在通车202公里，居内地城市第四了// @赵特特爱轨交 :重庆客流超南京了？！,2015-01-01 12:18:00 来自 荣耀3X
 #地铁客流排行榜# 12月31日（周三），北京地铁线网客运量为1032.8万人次，上海地铁客运量为1028.6万人次，广州地铁客运量为861.3万人次，深圳地铁线网客运量为394.9万人次，重庆地铁客运量230万人次，南京地铁客运量为199万人次。,2015-01-01 10:57:00 来自 微博 weibo.com
新的一年新的开始！许下一个愿望——一年胜一年！,2015-01-01 08:55:00 来自 微博 weibo.com
跟南京有得比,2015-01-01 08:12:00 来自 荣耀3X
转发微博,2015-01-01 08:11:00 来自 荣耀3X
内地城市应该排第五了,2015-01-01 08:10:00 来自 荣耀3X
转发微博,2014-12-31 23:45:00 来自 荣耀3X
牛！！,2014-12-22 20:24:00 来自 荣耀3X
 #地铁客流排行榜# 12月5日（周五），北京地铁线网客运量为1082.36万人次，上海地铁客运量为922.8万人次，广州地铁客运量为701.9万人次，深圳地铁线网客运量为314.5万人次，南京地铁客运量为164万人次。   2 大发埔西六巷 ,2014-12-06 12:16:00 来自 荣耀3X
12月5日（周五），北京地铁线网客流1082.76万人次(全球第一)，上海922.8万人次，广州701.9万人次，深圳线网314.5万人次。   2 阳光路 ,2014-12-06 12:14:00 来自 荣耀3X
【求是理论网刊文：围攻《辽宁日报》为哪般？】这是媒体对维护意识形态安全、保护年轻一代身心健康的责任担当。贺卫方、郭建斌们轮番炮轰、联手围攻，究竟为哪般？ （分享自  @凤凰网 ）   O 求是理论网刊文：围攻《辽宁日报》为哪般？  ,2014-11-18 19:26:00 来自 分享按钮
全国铁路下月实施新运行图 动车将扩至28省市区 （分享自  @凤凰网 ）   O 全国铁路下月实施新运行图 动车将扩至28省市区  ,2014-11-16 09:19:00 来自 分享按钮
“余则成”在朝鲜战争——不能归来的无名英雄   O “余则成”在朝鲜战争——不能归来的无名英雄 ,2014-11-08 22:46:00 来自 百度分享
关注地铁安全，一个大活人（应该为成人）家在屏蔽门与车门之间，为何没有屏蔽门与车门能同时关闭好而没有报警，不可思议？？,2014-11-07 09:12:00 来自 微博 weibo.com
回复 @zhengruiw02 :深圳地铁9.30至10.7日客流分别为：327.52W; 334W，325.93W;282.31，259.54W;249.88W;; 240.65W; 234.71W. // @zhengruiw02 :话说能不能发一下国庆深圳地铁客流 包括9月30号的？官方都没公布，不知道破纪录了没。谢谢！,2014-10-10 13:50:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月16日（周二），北京地铁线网客运量为1057.94万人次，上海地铁客运量为855.5万人次，广州地铁客运量为579.3万人次，深圳地铁线网客运量为246.32万人次，南京地铁客运量为140.4万人次。,2014-09-17 17:38:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月15日（周一），北京地铁线网客运量为1054.26万人次，上海地铁客运量为859.4万人次，广州地铁客运量为635.7万人次，深圳地铁线网客运量为277.87万人次，南京地铁客运量为140.8万人次。,2014-09-16 09:26:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月14日（周日），北京地铁线网客运量为771.98万人次，上海地铁客运量为641.4万人次，广州地铁客运量为610.5万人次，深圳地铁线网客运量为251.05万人次，南京地铁客运量为137.6万人次。,2014-09-15 10:34:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月13日（周六），北京地铁线网客运量为828.65万人次，上海地铁客运量为638.8万人次，广州地铁客运量为638.4万人次，深圳地铁线网客运量为263.32万人次，南京地铁客运量为149万人次。,2014-09-15 10:33:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月12日（周五），北京地铁线网客运量为1082.49万人次，上海地铁客运量为887.2万人次，广州地铁客运量为678.4万人次，深圳地铁线网客运量为301.78万人次，南京地铁客运量为154.2万人次。,2014-09-15 10:32:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月11日（周四），北京地铁线网客运量为1027.7万人次，上海地铁客运量为850.4万人次，广州地铁客运量为630.7万人次，深圳地铁线网客运量为286.33万人次，南京地铁客运量为140.1万人次。,2014-09-12 11:22:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月10日（周三），北京地铁线网客运量为1037.14万人次，上海地铁客运量为843.2万人次，广州地铁客运量为637.1万人次，深圳地铁线网客运量为283.66万人次，南京地铁客运量为140.4万人次。,2014-09-11 09:56:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月9日（周二），北京地铁线网客运量为1050.33万人次，上海地铁客运量为849.6万人次，广州地铁客运量为676.4万人次，深圳地铁线网客运量为298万人次，南京地铁客运量为147.6万人次。,2014-09-10 11:22:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月8日（周一，放假），北京地铁线网客运量为807.51万人次，广州地铁客运量为657.2万人次，上海地铁客运量为638.1万人次，深圳地铁线网客运量为295.47万人次，南京地铁客运量为133.2万人次。,2014-09-09 09:34:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月7日（周日），北京地铁线网客运量为776.38万人次，上海地铁客运量为677.3万人次，广州地铁客运量为670.6万人次，深圳地铁线网客运量为314.78万人次，南京地铁客运量为141.69万人次。,2014-09-09 09:32:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月6日（周l六），北京地铁线网客运量为835.71万人次，上海地铁客运量为687.74万人次，广州地铁客运量为672.6万人次，深圳地铁线网客运量为279.37万人次，南京地铁客运量为155.24万人次。,2014-09-09 09:31:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月5日（周五），北京地铁线网客运量为1167.23万人次，上海地铁客运量为922.4万人次，广州地铁客运量为709.6万人次，深圳地铁线网客运量为321.59万人次，南京地铁客运量为164.77万人次。,2014-09-09 09:30:00 来自 微博 weibo.com
回复 @zhengruiw02 :免费客流也会统计的// @zhengruiw02 :昨天去看展览，得到免费票一张，少贡献3人次客流。,2014-09-07 19:11:00 来自 微博手机版
 #地铁客流排行榜# 9月4日（周四），北京地铁线网客运量为1076.01万人次，上海地铁客运量为863.3万人次，广州地铁客运量为639.2万人次，深圳地铁线网客运量为288.37万人次，南京地铁客运量为145.9万人次。,2014-09-05 11:19:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月3日（周三），北京地铁线网客运量为1079.3万人次，上海地铁客运量为814.58万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为297.55万人次，南京地铁客运量为145.6万人次。,2014-09-04 09:23:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月2日（周二），北京地铁线网客运量为972.02万人次，上海地铁客运量为937.2万人次，广州地铁客运量为626.7万人次，深圳地铁线网客运量为291.07万人次，南京地铁客运量为141.3万人次。,2014-09-04 09:22:00 来自 微博 weibo.com
 #地铁客流排行榜# 9月1日（周一），北京地铁线网客运量为1032.6万人次，上海地铁客运量为826.7万人次，广州地铁客运量为644.7万人次，深圳地铁线网客运量为295.24万人次，南京地铁客运量为141.9万人次。,2014-09-02 12:37:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月31日（周日），北京地铁线网客运量为754.47万人次，广州地铁客运量为612.2万人次，上海地铁客运量为596.78万人次，深圳地铁线网客运量为279.24万人次，南京地铁客运量为120.2万人次。,2014-09-01 17:09:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月29日（周五），北京地铁线网客运量为1096.21万人次，上海地铁客运量为873.1万人次，广州地铁客运量为691.8万人次，深圳地铁线网客运量为314.02万人次，南京地铁客运量为156.28万人次。,2014-08-30 13:06:00 来自 荣耀3X
发表了一篇转载博文《[转载]《国防参考》全文：警惕西方敌对势力抹黑毛泽东的险恶图谋》  &#xe606; [转载]《国防参考》全文：警惕西方敌对势力抹... ,2014-08-29 17:00:00 来自 新浪博客
 #地铁客流排行榜# 8月28日（周四），北京地铁线网客运量为1064万人次，上海地铁客运量为859.8万人次，广州地铁客运量为650.9万人次，深圳地铁线网客运量为300.76万人次，南京地铁客运量为144.7万人次。,2014-08-29 09:36:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月27日（周三），北京地铁线网客运量为1078.13万人次，上海地铁客运量为849.5万人次，广州地铁客运量为658.6万人次，深圳地铁线网客运量为306.36万人次，南京地铁客运量为141万人次。,2014-08-28 17:49:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月26日（周二），北京地铁线网客运量为1090.74万人次，上海地铁客运量为868.4万人次，广州地铁客运量为665.1万人次，深圳地铁线网客运量为307.26万人次，南京地铁客运量为147万人次。,2014-08-27 17:06:00 来自 微博 weibo.com
回复 @zhengruiw02 :周末北京上海掉得厉害，按说南京这种城市周末应该保持增长才对。 // @zhengruiw02 :南京怎么掉了那么多，下雨？,2014-08-26 11:34:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月25日（周一），北京地铁线网客运量为1091.86万人次，上海地铁客运量为861.5万人次，广州地铁客运量为680万人次，深圳地铁线网客运量为306.08万人次，南京地铁客运量为146.8万人次。,2014-08-26 11:32:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月24日（周日），北京地铁线网客运量为795.9万人次，广州地铁客运量为642.3万人次，上海地铁客运量为618.5万人次，深圳地铁线网客运量为300.54万人次，南京地铁客运量为118.5万人次。,2014-08-25 10:58:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月21日（周四），北京地铁线网客运量为1103.73万人次，上海地铁客运量为909.9万人次，广州地铁客运量为647.6万人次，深圳地铁线网客运量为304.62万人次，南京地铁客运量为148万人次。,2014-08-22 14:12:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月19日（周二），北京地铁线网客运量为1115.5万人次，上海地铁客运量为826.72万人次，广州地铁客运量为645.2万人次，深圳地铁线网客运量为300.66万人次，南京地铁客运量为148.7万人次。,2014-08-20 10:42:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月18日（周一），北京地铁线网客运量为1116.4万人次，上海地铁客运量为859.2万人次，广州地铁客运量为697.1万人次，深圳地铁线网客运量为304.56万人次，南京地铁客运量为148.3万人次。,2014-08-19 09:21:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月12日（周二），北京地铁线网客运量为1106.93万人次，上海地铁客运量为860.5万人次，广州地铁客运量为640.4万人次，深圳地铁线网客运量为302.6万人次，南京地铁客运量为149.1万人次。,2014-08-13 10:47:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月11日（周一），北京地铁线网客运量为1100.92万人次，上海地铁客运量为871.4万人次，广州地铁客运量为657.9万人次，深圳地铁线网客运量为308.91万人次，南京地铁客运量为144.9万人次。,2014-08-12 09:24:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月10日（周日），北京地铁线网客运量为815.75万人次，上海地铁客运量为632.49万人次，广州地铁客运量为608.1万人次，深圳地铁线网客运量为303.79万人次，南京地铁客运量为123.4万人次。,2014-08-11 12:40:00 来自 微博 weibo.com
回复 @用户3852043527 :你说的大概是“总进站客流”跟“各线的客运量之和”的概念问题吧，现在通常说的客运量采用的数据都是指后者，也就是说都包含了换乘客流，比如说北京某日线网总客流1100万，不是指全天有1100万人次进站，而是指各线列车运输量有1100万，对列车运力安排及清算票款有重要意义。,2014-08-09 09:31:00 来自 荣耀3X
地铁客流排行榜#8月7日（周四），北京地铁线网客运量为1089万人次，上海地铁客运量为845万人次，广州地铁客运量为624.4万人次，深圳地铁线网客运量为298.8万人次，南京地铁客运量为133.8万人次。,2014-08-08 11:06:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月6日（周三），北京地铁线网客运量为1103.47万人次，上海地铁客运量为847.8万人次，广州地铁客运量为631.6万人次，深圳地铁线网客运量为303.27万人次，南京地铁客运量为130.6万人次。,2014-08-07 12:38:00 来自 微博 weibo.com
独特的轨道风景线,2014-08-07 11:50:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月5日（周二），北京地铁线网客运量为1103.86万人次，上海地铁客运量为851.2万人次，广州地铁客运量为644万人次，深圳地铁线网客运量为306.23万人次，南京地铁客运量为134.8万人次。,2014-08-06 12:42:00 来自 微博 weibo.com
转发微博,2014-08-05 19:31:00 来自 荣耀3X
关于 #地铁客流排行榜# 的声明，第一，没想到会有这么多人关注，是好事；第二，我要说明，不同的角度会有不能的解读，属正常；第三，博主本人最先想到的只是提供一个客观的“数据”，方便从整体上把握中国内地城市轨道交通运营的现状，至于如何解读、评价这些数据，是下一步的问题，也欢迎大家发表见解！,2014-08-05 11:35:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月4日（周一），北京地铁线网客运量为1053万人次，上海地铁客运量为855.8万人次，广州地铁客运量为648.4万人次，深圳地铁线网客运量为311万人次，南京地铁客运量为140.1万人次。,2014-08-05 10:15:00 来自 微博 weibo.com
 #地铁客流排行榜# 8月3日（周日），北京地铁线网客运量为798.62万人次，上海地铁客运量为649.8万人次，广州地铁客运量为630.6万人次，深圳地铁线网客运量为316万人次，南京地铁客运量为122.8万人次。,2014-08-05 10:14:00 来自 微博 weibo.com
南京也有5条线了。// @鹅黄小杯 :南京才几条地铁啊。。。 ,2014-08-05 08:55:00 来自 荣耀3X
 #地铁客流排行榜# 7月31日（周四），北京地铁线网客运量为1092.87万人次，上海地铁客运量为871.5万人次，广州地铁客运量为652.6万人次，深圳地铁线网客运量为304.37人次，南京地铁客运量为134.9万人次。,2014-08-01 12:43:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月29日（周二），北京地铁线网客运量为1101万人次，上海地铁客运量为871万人次，广州地铁客运量为651万人次，深圳地铁线网客运量为308人次，南京地铁客运量为140万人次。,2014-07-30 09:19:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月28日（周一），北京地铁线网客运量为1095.2万人次，上海地铁客运量为866.2万人次，广州地铁客运量为665.7万人次，深圳地铁线网客运量为315.87人次，南京地铁客运量为144万人次。,2014-07-29 10:09:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月24日（周四），北京地铁线网客运量为1096万人次，上海地铁客运量为854.5万人次，广州地铁客运量为644.9万人次，深圳地铁线网客运量为306人次，南京地铁客运量为136万人次。,2014-07-25 11:39:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月23日（周三），北京地铁线网客运量为1115.77万人次，上海地铁客运量为861.6万人次，广州地铁客运量为659.3万人次，深圳地铁线网客运量为313.19人次，南京地铁客运量为135.3万人次。,2014-07-24 10:05:00 来自 微博 weibo.com
 #地铁客流排行榜# 7月16日（周三），北京地铁线网客运量为1146.63万人次，上海地铁客运量为900.5万人次，广州地铁客运量为692.4万人次，深圳地铁线网客运量为325.52人次，南京地铁客运量为147.7万人次。,2014-07-17 10:16:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月19日（周四），北京地铁线网客运量为1030.15万人次，上海地铁客运量为839.4万人次，广州地铁客运量为615.8万人次，深圳地铁线网客运量为281.63人次，南京地铁客运量为132万人次。,2014-06-20 11:39:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月18日（周三），北京地铁线网客运量为1036.53万人次，上海地铁客运量为843.6万人次，广州地铁客运量为616万人次，深圳地铁线网客运量为288.62人次，南京地铁客运量为133.6万人次。,2014-06-19 14:04:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月17日（周二），北京地铁线网客运量为1026.22万人次，上海地铁客运量为808.9万人次，广州地铁客运量为599.2万人次，深圳地铁线网客运量为282.8人次，南京地铁客运量为130.3万人次。,2014-06-18 11:36:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月16日（周一），北京地铁线网客运量为1023.64万人次，上海地铁客运量为821.8万人次，广州地铁客运量为634.7万人次，深圳地铁线网客运量为290.55人次，南京地铁客运量为128.8万人次。,2014-06-17 17:40:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月15日（周日），北京地铁线网客运量为734.19万人次，广州地铁客运量为611.3万人次，上海地铁客运量为601.6万人次，深圳地铁线网客运量为275人次，南京地铁客运量为113.1万人次。,2014-06-16 09:53:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月14日（周六），北京地铁线网客运量为791.43万人次，上海地铁客运量为654万人次，广州地铁客运量为630.3万人次，深圳地铁线网客运量为271.18万人次，南京地铁客运量为120.9万人次。,2014-06-16 09:50:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月13日（周五），北京地铁线网客运量为1052.1万人次，上海地铁客运量为864.1万人次，广州地铁客运量为660.8万人次，深圳地铁线网客运量为302.93万人次，南京地铁客运量为138.3万人次。,2014-06-14 10:48:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月12日（周四），北京地铁线网客运量为1023.39万人次，上海地铁客运量为829.8万人次，广州地铁客运量为620.1万人次，深圳地铁线网客运量为279.9万人次，南京地铁客运量为126.4万人次。,2014-06-13 09:45:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月11日（周三），北京地铁线网客运量为1033.85万人次，上海地铁客运量为826.2万人次，广州地铁客运量为582.8万人次，深圳地铁线网客运量为282.32万人次，南京地铁客运量为126.5万人次。,2014-06-12 09:42:00 来自 微博 weibo.com
问：“地铁上原本有3头羊，中途上去一只狼，狼到站下车了，请问车上还有多少羊？” “没有羊，被狼吃了” “错，3头羊，因为地铁上不可以吃东西...”,2014-06-11 11:19:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月10日（周二），北京地铁线网客运量为1020.93万人次，上海地铁客运量为824.9万人次，广州地铁客运量为611.8万人次，深圳地铁线网客运量为282.21万人次，南京地铁客运量为126.5万人次。,2014-06-11 09:41:00 来自 微博 weibo.com
呼吁有良知的独立知识分子！,2014-06-10 15:32:00 来自 荣耀3X
转发微博,2014-06-10 11:20:00 来自 专业版微博
 #地铁客流排行榜# 6月9日（周一），北京地铁线网客运量为1031.45万人次，上海地铁客运量为816万人次，广州地铁客运量为620.5万人次，深圳地铁线网客运量为285.48万人次，南京地铁客运量为125.2万人次。,2014-06-10 11:18:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月8日（周日），北京地铁线网客运量为700.62万人次，上海地铁客运量为588.1万人次，广州地铁客运量为571.7万人次，深圳地铁线网客运量为258.52万人次，南京地铁客运量为109万人次。,2014-06-09 09:58:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月7日（周六），北京地铁线网客运量为792.5万人次，上海地铁客运量为646.4万人次，广州地铁客运量为579.9万人次，深圳地铁线网客运量为256.45万人次，南京地铁客运量为123.6万人次。,2014-06-09 09:57:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月6日（周五），北京地铁线网客运量为993.28万人次，上海地铁客运量为866.9万人次，广州地铁客运量为621.7万人次，深圳地铁线网客运量为287.41万人次，南京地铁客运量为137.8万人次。,2014-06-09 09:56:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月5日（周四），北京地铁线网客运量为1012.46万人次，上海地铁客运量为822万人次，广州地铁客运量为590万人次，深圳地铁线网客运量为272.32万人次，南京地铁客运量为127万人次。,2014-06-09 09:55:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月4日（周三），北京地铁线网客运量为1002.44万人次，上海地铁客运量为812.6万人次，广州地铁客运量为593.2万人次，深圳地铁线网客运量为278.45万人次。,2014-06-05 09:48:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月3日（周二），北京地铁线网客运量为1020.92万人次，上海地铁客运量为816.7万人次，广州地铁客运量为603.8万人次，深圳地铁线网客运量为285.86万人次，南京地铁客运量为131.1万人次。,2014-06-05 09:47:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月2日（周一，放假），北京地铁线网客运量为778.27万人次，广州地铁客运量为669.7万人次，上海地铁客运量为621.7万人次，深圳地铁线网客运量为314.2万人次，南京地铁客运量为119.2万人次。,2014-06-03 09:52:00 来自 微博 weibo.com
 #地铁客流排行榜# 6月1日（周日），北京地铁线网客运量为760万人次，广州地铁客运量为675.9万人次，上海地铁客运量为529.2万人次，深圳地铁线网客运量为335.7万人次，南京地铁客运量为90万人次。,2014-06-03 09:50:00 来自 微博 weibo.com
 #地铁客流排行榜# 5月31日（周六），北京地铁线网客运量为795.29万人次，上海地铁客运量为679.3万人次，广州地铁客运量为642.7万人次，深圳地铁线网客运量为286.83万人次，南京地铁客运量为119.1万人次。,2014-06-03 09:49:00 来自 微博 weibo.com
 #地铁客流排行榜# 5月30日（周五），北京地铁线网客运量为1103.26万人次，上海地铁客运量为898万人次，广州地铁客运量为692.7万人次，深圳地铁线网客运量为314.28万人次，南京地铁客运量为154万人次。,2014-06-03 09:48:00 来自 微博 weibo.com
我正在使用手机应用&lt;呼应&gt;，注册就送了1小时电话时长；做任务还送了我快1000分钟。现在拨打全国任意座机、手机都不用花钱了！真的很神奇！邀请码为[1nohwv]  O 网页链接 ,2014-06-03 07:55:00 来自 呼应免费网络电话
我正在使用手机应用&lt;呼应&gt;，注册就送了1小时电话时长；做任务还送了我快1000分钟。现在拨打全国任意座机、手机都不用花钱了！真的很神奇！邀请码为[1nohwv]  O 网页链接 ,2014-06-01 09:21:00 来自 呼应免费网络电话
据说已指定要S..MC去该地运营，那岂不是马上又要大变动了？？,2014-05-30 12:53:00 来自 微博 weibo.com
 #地铁客流排行榜# 5月29日（周四），北京地铁线网客运量为1033.87万人次，上海地铁客运量为834.6万人次，广州地铁客运量为609.8万人次，深圳地铁线网客运量为282.16万人次，南京地铁客运量为130.6万人次。,2014-05-30 12:51:00 来自 微博 weibo.com
华为中标埃塞轻轨项目，4G LTE助力智慧城轨- 华为中标埃塞轻轨项目，4G LTE助力智慧城轨   O 网页链接  ,2014-05-30 10:39:00 来自 bShare分享
 #地铁客流排行榜# 5月28日（周三），北京地铁线网客运量为1038.27万人次，上海地铁客运量为833.1万人次，广州地铁客运量为6604.3万人次，深圳地铁线网客运量为280.13万人次，南京地铁客运量为130.8万人次。,2014-05-29 14:27:00 来自 微博 weibo.com
 #地铁客流排行榜# 5月27日（周二），北京地铁线网客运量为1033.38万人次，上海地铁客运量为825.5万人次，广州地铁客运量为620.7万人次，深圳地铁线网客运量为278.78万人次，南京地铁客运量为129.3万人次。,2014-05-28 10:52:00 来自 微博 weibo.com
