 #地铁客流排行榜# 3月2日（正月廿四，周三），北京地铁路网客运量为1132.08万，上海地铁客运量为1033.1万，广州地铁客运量为733.4万， 深圳地铁路网客运量350.71万，南京地铁客运量为234.8万，武汉地铁客运量为196.67万，成都地铁客运量为140.44万。,2016-03-03 10:36:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 3月1日（正月廿三，周二），北京地铁路网客运量为1128.4万，上海地铁客运量为1023.9万，广州地铁客运量为726.7万， 深圳地铁路网客运量345.97万，南京地铁客运量为236.6万，武汉地铁客运量为201.59万，成都地铁客运量为142.97万。,2016-03-02 10:16:00 来自 微博 weibo.com
【 发改委等10部门：将有序发展网络预约拼车】今天，国家发改委等10个部门制定的《关于促进绿色消费的指导意见》发布。指出：支持发展共享经济，鼓励个人闲置资源有效利用，有序发展网络预约拼车、自有车辆租赁、民宿出租、旧物交换利用等，创新监管方式，完善信用体系。  O 我国将有序发展网络预约拼车 ,2016-03-02 08:23:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月29日（正月廿二，周一），北京地铁路网客运量为1127.31万，上海地铁客运量为1016.5万，广州地铁客运量为732.4万， 深圳地铁路网客运量352.9万，南京地铁客运量为238万，武汉地铁客运量为207.2万，成都地铁客运量为144.46万。,2016-03-01 09:22:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月28日（正月廿一，周日），北京地铁路网客运量为737.46万，上海地铁客运量为733.8万，广州地铁客运量为733.5万， 深圳地铁路网客运量325.53万，南京地铁客运量为237.9万，武汉地铁客运量为203.3万，成都地铁客运量为131.7万。,2016-02-29 14:59:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月27日（正月二十，周六），北京地铁路网客运量为818.5万，上海地铁客运量为817.1万，广州地铁客运量为770.9万， 深圳地铁路网客运量333.71万，南京地铁客运量为267万，武汉地铁客运量为219.95万，成都地铁客运量为144.92万。,2016-02-29 14:55:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月26日（正月十九，周五），北京地铁路网客运量为1176.75万，上海地铁客运量为1063.1万，广州地铁客运量为764.2万， 深圳地铁路网客运量364万，南京地铁客运量为262.9万，武汉地铁客运量为223.6万，成都地铁客运量为163.51万。各地客流节节攀高。,2016-02-27 10:15:00 来自 华为Ascend Mate7
 #地铁客流排行榜# 2月25日（正月十八，周四），北京地铁路网客运量为1114.06万，上海地铁客运量为1008.1万，广州地铁客运量为716.8万， 深圳地铁路网客运量331.06万，南京地铁客运量为235.4万，武汉地铁客运量为20579万，成都地铁客运量为146.26万。,2016-02-26 10:33:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月23日（正月十六，周二），北京地铁路网客运量为1062.26万，上海地铁客运量为971.4万，广州地铁客运量为671.2万， 深圳地铁路网客运量316.02万，南京地铁客运量为238.3万，武汉地铁客运量为207.52万，成都地铁客运量为147.78万。,2016-02-24 10:53:00 来自 微博 weibo.com
 #地铁客流排行榜# 2月22日（正月十五，周一），北京地铁路网客运量为1033.32万，上海地铁客运量为887.5万，广州地铁客运量为655万， 深圳地铁路网客运量315.59万，南京地铁客运量为229.5万，武汉地铁客运量为184.85万，成都地铁客运量为144.15万。,2016-02-23 12:27:00 来自 微博 weibo.com
